,knowledge_score,awareness_composite,attitude_composite
count,1385.0,1385.0,1385.0
mean,0.8217122228916968,0.7161552346570397,0.38029281989614927
std,0.20777179790272396,0.16355626390580164,0.17777872813934992
min,0.071428571,0.125,0.027777777833333333
25%,0.785714286,0.625,0.25
50%,0.857142857,0.75,0.3555555555
75%,0.928571429,0.8125,0.5
max,1.0,1.0,0.9333333333333332
