,Factor1,Factor2,Factor3
Q8,-0.0043719513781151215,-0.03221393164312627,0.1812005066175344
Q9,-0.019649761438572447,0.8951883226826769,-0.05210019161460946
Q10,0.05175770823751595,0.3016091534707391,0.0348295152496016
Q14,0.28150850443891823,0.08820588355164978,0.477356295047993
Q19,0.1489620253780043,0.0321130207414596,0.4399380145593221
Q21,0.298822626530362,0.10733445251939741,0.5025049779270807
Q24,0.9195794022068032,0.06786605585467413,0.1856966807948472
Q29,0.5749768529430728,0.037153879799141046,0.1920350566119577
