group1,group2,meandiff,p-adj,lower,upper,reject
0,1,0.0445,0.8619,-0.0662,0.1552,False
0,2,-0.0245,0.9926,-0.146,0.097,False
0,3,-0.2097,0.0,-0.3174,-0.1021,True
0,4,-0.0058,1.0,-0.1097,0.0981,False
0,5,-0.0092,0.9999,-0.1142,0.0957,False
1,2,-0.069,0.568,-0.1885,0.0506,False
1,3,-0.2542,0.0,-0.3596,-0.1488,True
1,4,-0.0503,0.7197,-0.1519,0.0513,False
1,5,-0.0537,0.6698,-0.1564,0.049,False
2,3,-0.1852,0.0001,-0.302,-0.0685,True
2,4,0.0187,0.9971,-0.0946,0.1319,False
2,5,0.0153,0.999,-0.099,0.1295,False
3,4,0.2039,0.0,0.1057,0.3022,True
3,5,0.2005,0.0,0.1011,0.2999,True
4,5,-0.0034,1.0,-0.0987,0.0919,False
