group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-0.063,0.2087,-0.1424,0.0163,False
0,2,-0.0492,0.5912,-0.1362,0.0379,False
0,3,0.1179,0.0002,0.0408,0.1951,True
0,4,-0.0108,0.9984,-0.0853,0.0636,False
0,5,0.0292,0.8779,-0.046,0.1045,False
1,2,0.0139,0.9974,-0.0718,0.0995,False
1,3,0.181,0.0,0.1054,0.2565,True
1,4,0.0522,0.3175,-0.0206,0.125,False
1,5,0.0922,0.0049,0.0186,0.1659,True
2,3,0.1671,0.0,0.0834,0.2508,True
2,4,0.0383,0.7582,-0.0428,0.1195,False
2,5,0.0784,0.0697,-0.0035,0.1603,False
3,4,-0.1288,0.0,-0.1992,-0.0583,True
3,5,-0.0887,0.0053,-0.16,-0.0175,True
4,5,0.0401,0.5499,-0.0283,0.1084,False
