,knowledge_score,awareness_composite,attitude_composite
knowledge_score,1.0,0.773034225309619,0.004983550203175441
awareness_composite,0.773034225309619,1.0,0.04287852351397355
attitude_composite,0.004983550203175441,0.04287852351397355,1.0
