Question,F_statistic,p_value
Q8,2.4527184927766896,0.03186111865326259
Q9,1.7769690862930656,0.11453108945915623
Q10,4.935136181109104,0.0001752090070708113
Q14,4.286081120862581,0.0007143758466774373
Q19,1.3519307755090568,0.23986944786210923
Q21,4.725597840008221,0.00027643896783866116
Q24,4.852833460775667,0.00020962705071799357
Q29,4.891142485918309,0.00019284486465056963
