group1,group2,meandiff,p-adj,lower,upper,reject
0,1,0.0953,0.3452,-0.041,0.2315,False
0,2,0.1177,0.2172,-0.0318,0.2672,False
0,3,0.031,0.9854,-0.1015,0.1635,False
0,4,0.1284,0.0482,0.0006,0.2563,True
0,5,0.0646,0.7109,-0.0646,0.1937,False
1,2,0.0224,0.998,-0.1247,0.1696,False
1,3,-0.0643,0.7186,-0.1941,0.0655,False
1,4,0.0332,0.9745,-0.0919,0.1582,False
1,5,-0.0307,0.9827,-0.1571,0.0957,False
2,3,-0.0867,0.5167,-0.2304,0.0569,False
2,4,0.0107,0.9999,-0.1287,0.1501,False
2,5,-0.0531,0.89,-0.1938,0.0875,False
3,4,0.0974,0.1948,-0.0235,0.2184,False
3,5,0.0336,0.9704,-0.0887,0.1559,False
4,5,-0.0639,0.6294,-0.1812,0.0534,False
