group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-0.0321,0.5388,-0.0864,0.0221,False
0,2,-0.0508,0.1457,-0.1103,0.0088,False
0,3,-0.0901,0.0,-0.1429,-0.0373,True
0,4,-0.066,0.0031,-0.1169,-0.015,True
0,5,-0.0527,0.0409,-0.1042,-0.0013,True
1,2,-0.0186,0.9446,-0.0773,0.04,False
1,3,-0.058,0.0176,-0.1097,-0.0063,True
1,4,-0.0338,0.3791,-0.0837,0.016,False
1,5,-0.0206,0.8526,-0.0709,0.0298,False
2,3,-0.0393,0.3653,-0.0965,0.0179,False
2,4,-0.0152,0.9708,-0.0707,0.0403,False
2,5,-0.0019,1.0,-0.058,0.0541,False
3,4,0.0241,0.709,-0.024,0.0723,False
3,5,0.0374,0.2434,-0.0113,0.0861,False
4,5,0.0132,0.9659,-0.0335,0.06,False
