,mean,median,sd,min,max
factor1_norm,0.7243682310469314,1.0,0.36889546920245153,0.0,1.0
factor2_norm,0.9583634175691939,1.0,0.13511294714922176,0.0,1.0
factor3_norm,0.6611311673061372,0.666666667,0.20659060113212907,0.0,1.0
